	Event	Transcript Name	Link
	WWDC24	What’s new in UIKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10118/eng_466ce587f144/wwdc2024-10118-transcript-eng.json
	WWDC24	What’s new in Xcode 16	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10135/eng_0e4e0b328de3/wwdc2024-10135-transcript-eng.json
	WWDC24	What’s new in watchOS 11	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10205/eng_56843ff1d3f9/wwdc2024-10205-transcript-eng.json
	WWDC24	A Swift Tour: Explore Swift’s features and design	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10184/eng_4bd43b1693ff/wwdc2024-10184-transcript-eng.json
	WWDC24	Bring expression to your app with Genmoji	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10220/eng_623ce47e7147/wwdc2024-10220-transcript-eng.json
	WWDC24	Build a spatial drawing app with RealityKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10104/eng_694d1abceb20/wwdc2024-10104-transcript-eng.json
	WWDC24	Build custom swimming workouts with WorkoutKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10084/eng_48ffc4d9ef33/wwdc2024-10084-transcript-eng.json
	WWDC24	Catch up on accessibility in SwiftUI	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10073/eng_d71f3f681e54/wwdc2024-10073-transcript-eng.json
	WWDC24	Create a custom data store with SwiftData	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10138/eng_a475b04a4d56/wwdc2024-10138-transcript-eng.json
	WWDC24	Create custom environments for your immersive apps in visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10087/eng_5c66ab38e58c/wwdc2024-10087-transcript-eng.json
	WWDC24	Deploy machine learning and AI models on-device with Core ML	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10161/eng_2953f861979c/wwdc2024-10161-transcript-eng.json
	WWDC24	Design Live Activities for Apple Watch	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10098/eng_6a3ce4d04fb0/wwdc2024-10098-transcript-eng.json
	WWDC24	Dive deep into volumes and immersive spaces	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10153/eng_60ae6bdb5c99/wwdc2024-10153-transcript-eng.json
	WWDC24	Enhance the immersion of media viewing in custom environments	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10115/eng_370f50f21523/wwdc2024-10115-transcript-eng.json
	WWDC24	Enhance your UI animations and transitions	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10145/eng_19faeaf07a77/wwdc2024-10145-transcript-eng.json
	WWDC24	Evolve your document launch experience	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10132/eng_7f8b3207613d/wwdc2024-10132-transcript-eng.json
	WWDC24	Explore game input in visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10094/eng_6af3922bed68/wwdc2024-10094-transcript-eng.json
	WWDC24	Explore wellbeing APIs in HealthKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10109/eng_16d4b1714cd9/wwdc2024-10109-transcript-eng.json
	WWDC24	Extend your app’s controls across the system	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10157/eng_67af5847416b/wwdc2024-10157-transcript-eng.json
	WWDC24	Get started with Writing Tools	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10168/eng_d85b1d6134b4/wwdc2024-10168-transcript-eng.json
	WWDC24	Go further with Swift Testing	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10195/eng_2c5849b0d379/wwdc2024-10195-transcript-eng.json
	WWDC24	Go small with Embedded Swift	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10197/eng_9c171c999ef9/wwdc2024-10197-transcript-eng.json
	WWDC24	Meet AdAttributionKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10060/eng_c4acbb68024d/wwdc2024-10060-transcript-eng.json
	WWDC24	Meet FinanceKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-2023/eng_5a54c7619454/wwdc2024-2023-transcript-eng.json
	WWDC24	Meet TabletopKit for visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10091/eng_40a85e767eff/wwdc2024-10091-transcript-eng.json
	WWDC24	Migrate your TVML app to SwiftUI	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10207/eng_e62210518d02/wwdc2024-10207-transcript-eng.json
	WWDC24	Optimize for the spatial web	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10065/eng_22ed46773818/wwdc2024-10065-transcript-eng.json
	WWDC24	Platforms State of the Union 5-Minute Recap	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-111977/eng_2e91db4e3d17/wwdc2024-111977-transcript-eng.json
	WWDC24	Render Metal with passthrough in visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10092/eng_08bd4c2b0f16/wwdc2024-10092-transcript-eng.json
	WWDC24	Squeeze the most out of Apple Pencil	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10214/eng_859608cace15/wwdc2024-10214-transcript-eng.json
	WWDC24	Streamline sign-in with passkey upgrades and credential managers	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10125/eng_12f009071c60/wwdc2024-10125-transcript-eng.json
	WWDC24	Support real-time ML inference on the CPU	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10211/eng_afef4a2ad0b4/wwdc2024-10211-transcript-eng.json
	WWDC24	What’s new in App Intents	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10134/eng_13bfd2017307/wwdc2024-10134-transcript-eng.json
	WWDC24	What’s new in Create ML	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10183/eng_70e05ae376e4/wwdc2024-10183-transcript-eng.json
	WWDC24	Work with windows in SwiftUI	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10149/eng_ecfefaa30ff3/wwdc2024-10149-transcript-eng.json
	WWDC24	Xcode essentials	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10181/eng_c3b394edbb73/wwdc2024-10181-transcript-eng.json
	WWDC24	Break into the RealityKit debugger	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10172/eng_2003653e6370/wwdc2024-10172-transcript-eng.json
	WWDC24	Bring your iOS or iPadOS game to visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10093/eng_b039684ab830/wwdc2024-10093-transcript-eng.json
	WWDC24	Broadcast updates to your Live Activities	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10069/eng_2b4a7003a3f4/wwdc2024-10069-transcript-eng.json
	WWDC24	Build a great Lock Screen camera capture experience	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10204/eng_abbd5c1d1913/wwdc2024-10204-transcript-eng.json
	WWDC24	Build immersive web experiences with WebXR	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10066/eng_9c6e532ac3c9/wwdc2024-10066-transcript-eng.json
	WWDC24	Build multilingual-ready apps	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10185/eng_a56e449190f6/wwdc2024-10185-transcript-eng.json
	WWDC24	Create custom hover effects in visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10152/eng_5b3c919a6852/wwdc2024-10152-transcript-eng.json
	WWDC24	Customize feature discovery with TipKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10070/eng_0920c475c843/wwdc2024-10070-transcript-eng.json
	WWDC24	Demystify SwiftUI containers	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10146/eng_4b810a815268/wwdc2024-10146-transcript-eng.json
	WWDC24	Demystify explicitly built modules	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10171/eng_e62839b6eace/wwdc2024-10171-transcript-eng.json
	WWDC24	Design App Intents for system experiences	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10176/eng_200d8de5b2df/wwdc2024-10176-transcript-eng.json
	WWDC24	Design interactive experiences for visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10096/eng_e5dbfff110ab/wwdc2024-10096-transcript-eng.json
	WWDC24	Discover Swift enhancements in the Vision framework	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10163/eng_598380218aec/wwdc2024-10163-transcript-eng.json
	WWDC24	Discover area mode for Object Capture	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10107/eng_6b3e157b6e98/wwdc2024-10107-transcript-eng.json
	WWDC24	Discover media performance metrics in AVFoundation	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10113/eng_b52870095b4e/wwdc2024-10113-transcript-eng.json
	WWDC24	Enhanced suggestions for your journaling app	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10209/eng_ce7bb3d51a29/wwdc2024-10209-transcript-eng.json
	WWDC24	Explore App Store server APIs for In-App Purchase	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10062/eng_e67d88cbc37d/wwdc2024-10062-transcript-eng.json
	WWDC24	Explore the Swift on Server ecosystem	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10216/eng_bd7b8949ef6d/wwdc2024-10216-transcript-eng.json
	WWDC24	Get started with HealthKit in visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10083/eng_c404f297e124/wwdc2024-10083-transcript-eng.json
	WWDC24	Keep colors consistent across captures	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10162/eng_3407c0be5248/wwdc2024-10162-transcript-eng.json
	WWDC24	Meet the Translation API	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10117/eng_0c852514fda3/wwdc2024-10117-transcript-eng.json
	WWDC24	Optimize your 3D assets for spatial computing	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10186/eng_e263d7a041a3/wwdc2024-10186-transcript-eng.json
	WWDC24	Run, Break, Inspect: Explore effective debugging in LLDB	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10198/eng_a081a400bb7b/wwdc2024-10198-transcript-eng.json
	WWDC24	Support semantic search with Core Spotlight	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10131/eng_44f69da06dd0/wwdc2024-10131-transcript-eng.json
	WWDC24	Tailor macOS windows with SwiftUI	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10148/eng_4bca6f551a98/wwdc2024-10148-transcript-eng.json
	WWDC24	Unlock the power of places with MapKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10097/eng_0d02d59dfc61/wwdc2024-10097-transcript-eng.json
	WWDC24	What’s new in SF Symbols 6	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10188/eng_a5c1aa1a1a5e/wwdc2024-10188-transcript-eng.json
	WWDC24	What’s new in location authorization	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10212/eng_2a157f8739eb/wwdc2024-10212-transcript-eng.json
	WWDC24	What’s new in privacy	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10123/eng_4f7804ad1453/wwdc2024-10123-transcript-eng.json
	WWDC24	Accelerate machine learning with Metal	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10218/eng_6fbb61f6ac79/wwdc2024-10218-transcript-eng.json
	WWDC24	Add personality to your app through UX writing	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10140/eng_c615f5320efe/wwdc2024-10140-transcript-eng.json
	WWDC24	Analyze heap memory	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10173/eng_7984ae68da77/wwdc2024-10173-transcript-eng.json
	WWDC24	Capture HDR content with ScreenCaptureKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10088/eng_06bd9ef157fb/wwdc2024-10088-transcript-eng.json
	WWDC24	Consume noncopyable types in Swift	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10170/eng_db9583e291c8/wwdc2024-10170-transcript-eng.json
